,Unnamed: 0,applicant_id,years_of_insurance_with_us,regular_checkup_lasy_year,adventure_sports,visited_doctor_last_1_year,daily_avg_steps,age,heart_decs_history,other_major_decs_history,avg_glucose_level,bmi,Year_last_admitted,weight,weight_change_in_last_one_year,fat_percentage,insurance_cost,Student,Business,150 to 175,200 to 225,175 to 200,225 to 250,Female,formerly smoked,never smoked,smokes,Jaipur,Bangalore,Bhubaneswar,Guwahati,Mumbai,Nagpur,Surat,Pune,Kanpur,Mangalore,Kolkata,Delhi,Ahmedabad,Lucknow,Y,Daily,No,Extreme
Unnamed: 0,1.0,1.0000000000000038,-0.01744447215973648,-0.009705334890600839,0.00365334960630905,-0.0010915176986887633,-0.000549587761744562,0.00029946623952240156,-0.007841803729228197,0.0036588481942825997,-0.0011168052219765279,0.004040775693051281,-0.0007141810978460842,0.00012304434516256522,0.007270821025249024,0.009605629777364861,0.002584918614124526,-0.0005661436466234753,-0.0019939336201482364,0.011626493910794929,-0.006799525068875841,-0.00613530136441357,0.010754828778814894,-0.0025415754035360712,-0.006450469676794338,0.009685671700716813,0.0005242988380873311,-0.00267921238897292,0.0008536750243523656,0.008962658654633724,0.008661996326913187,0.0018360750314268572,-0.010888563898243215,-0.003315064757522074,-0.004448064365577317,0.008170027878967163,0.006995599456869488,-0.006562025200433844,0.005675564559662557,0.0074088091142125384,-0.004149445407611737,-0.004760471021181788,0.008044485796109674,-0.010863831168028198,-0.0019315277227608533
applicant_id,1.0000000000000038,1.0,-0.017444472159732657,-0.009705334890602426,0.003653349606308375,-0.0010915176986878766,-0.0005495877617417135,0.00029946623952411974,-0.007841803729226033,0.003658848194280139,-0.00111680522197838,0.0040407756930517565,-0.000714181097847755,0.00012304434516334262,0.00727082102525062,0.009605629777367293,0.0025849186141251768,-0.0005661436466196143,-0.001993933620149362,0.011626493910792662,-0.006799525068875818,-0.006135301364413915,0.010754828778812625,-0.0025415754035363752,-0.006450469676796264,0.00968567170071533,0.0005242988380875473,-0.002679212388972855,0.0008536750243501461,0.008962658654636397,0.008661996326914813,0.0018360750314245838,-0.010888563898244403,-0.003315064757521642,-0.004448064365576021,0.008170027878963367,0.006995599456869323,-0.00656202520043577,0.005675564559664953,0.007408809114214945,-0.004149445407613516,-0.004760471021182926,0.00804448579610988,-0.010863831168028014,-0.001931527722759306
years_of_insurance_with_us,-0.01744447215973648,-0.017444472159732657,1.0,0.018549150617511972,0.01641887973135754,0.0029848014894946692,-0.0014796963602277816,0.00410040909441139,-0.0011227812214623632,-0.010547814678453267,-0.00017388533421477964,-0.013185360491360645,0.0025032955416127564,-0.006284709780090785,-0.0006080884012870271,-0.003301520005691017,0.0014041508360615738,0.0015167615287305053,0.00766634009405493,0.004269362199168526,-0.001653438031372509,0.005838047522953877,-0.015473303553198627,0.007958672350165346,0.002333843723968677,-0.012635774782138811,-0.004427133638000326,0.0011622599071641217,0.009637174441030074,0.0003212539799320066,0.0027720040116999997,-0.004293950124139155,-0.005300700918468608,0.006133859558440501,0.002901856309274703,0.0024526406832314687,-0.008913296788013648,-0.007932181761624468,0.004070663952344798,-0.009527988902223509,-0.0010396289288478568,0.2609277470535589,-0.00014970284114501205,0.002573608610995253,0.006772073968322075
regular_checkup_lasy_year,-0.009705334890600839,-0.009705334890602426,0.018549150617511972,1.0,0.00929754125121241,-0.0058258892906374446,-0.001927643445334509,0.009033135966864298,2.2468031309098972e-05,-0.009595844115818094,0.014459034550609233,-0.008420719061974766,-0.005993361077350301,-0.14249163826579528,-0.012989761300167383,0.0021900619631386262,-0.17400481885898106,-0.00920255448769604,0.0016826670418319562,0.002463260159102495,-0.010360449047846786,0.0041805720714946665,0.005812428989613789,0.009298658551606477,-0.00346027638336121,-0.001019994630441094,0.0024144585554388477,-0.028553825189478063,0.06696527429975094,-0.028629247697392713,-0.0358562445068548,0.06422698335047855,-0.028991901899279596,-0.02889441674576441,-0.033023699029264435,-0.023334174551080156,-0.03114783562808895,0.03327695385099101,0.07115842766559152,-0.003927544539133686,-0.030267890766694335,0.018206962261100617,-0.001647619228046854,-0.006498197095329783,-0.001741991389941501
adventure_sports,0.00365334960630905,0.003653349606308375,0.01641887973135754,0.00929754125121241,1.0,0.011142788057153241,-0.0006709024172701694,-0.0024397622170641534,0.002807911594460006,0.00366069732359978,-0.005933045700624686,-0.0021956467013441255,-0.06249105617139181,0.07393774400005584,-0.047269843579221524,0.003053460163549793,0.07456081306111426,0.0020775851951484424,0.008690192685086385,0.007004384380252576,-0.005934460430056591,0.00620302366036364,-0.011619922323747681,0.004615327512895668,-0.0014532495559544958,-0.0023676262903357973,-0.002023605253936112,0.010183472043274171,-0.0013513178831747034,0.002172211584821755,-0.0015406727905915689,-0.0002885626800583189,0.010019973842329881,0.015649370234738114,-0.009218177807249232,-0.016392242986526393,-0.007940551909302297,-0.003194972313141619,0.002747180104866953,0.00931325667260135,-0.005770385313138583,0.022362660391450895,-0.007150254724512643,0.00618417410511317,-0.0003107022833756738
visited_doctor_last_1_year,-0.0010915176986887633,-0.0010915176986878766,0.0029848014894946692,-0.0058258892906374446,0.011142788057153241,1.0,-0.15688772157816575,-0.0012469112792887352,-0.0034435430141004195,0.00933758695275601,0.008147282133596698,0.0006300383980399361,-0.007965890559902095,0.012097550009820554,-0.01273318843940391,-0.04345458154612048,0.008890410959290402,-0.013595388714347725,0.0052846889951028795,0.022022227655633154,-0.07281701420188455,0.019619295116606105,-0.0044690734566823105,-0.0017585106415272263,0.0011961846150867887,0.005679066383308889,-0.003967032619705814,0.00225582880843807,-0.0010343567911580444,0.0006177192466407196,0.0016518501809847479,-0.001515538590170806,0.004881173903417384,-0.01588002012758398,0.007964041121704568,0.0006481788184971362,0.000859789308796154,-0.008084811577562764,0.003910573054406883,0.0012964730830577018,0.0038843861992788977,0.009524351959529637,0.04137388375281323,-0.02813190789619919,0.008100789799561506
daily_avg_steps,-0.000549587761744562,-0.0005495877617417135,-0.0014796963602277816,-0.001927643445334509,-0.0006709024172701694,-0.15688772157816575,1.0,-0.0003133663324017343,0.007255776974660082,-0.0036609090707940438,0.0004815168963326442,-0.005585180431604069,0.005087665345245413,-0.0057684022379490465,0.008347501435521485,0.04582729982786973,-0.0065645116723452145,-0.04492810938787522,-0.014211423015613164,-0.011772188594693464,0.013045632267522993,-0.05522713196200523,0.05341716852802139,0.00913832671795173,-0.005341316377616834,-0.0058358637883396645,0.008625458182648685,0.013400552536515026,-0.0008207897813769833,0.005257621800581362,-0.0024427698492113237,0.004889635648524891,-0.0045633992062522255,-0.0027546311649487122,0.01148316190923198,-0.0015243424872179937,-0.01392136042327965,-0.00047530853083874007,-0.0014117344381635313,0.002071005503119593,-0.004206161498079285,-0.0015260821629178008,-0.044733537392792844,0.07937633174166953,-0.0779151081752815
age,0.00029946623952240156,0.00029946623952411974,0.00410040909441139,0.009033135966864298,-0.0024397622170641534,-0.0012469112792887352,-0.0003133663324017343,1.0,-0.0035448777604045892,0.004385651356602286,-0.011550756545494575,-0.014744426089209128,-0.008053334375342796,0.0016755338174461573,-0.004234671749060308,-0.007945981434956626,0.0051953201857363315,1.3163884141908279e-05,0.0027893044793595653,0.005604296576689233,-0.0004915838324615887,0.0021179029128876384,-0.004668417351015354,-0.000179675268504895,-0.001715631047236761,-0.004863623824623891,-0.0017041816752698025,0.005833708506558649,0.0011244733763609053,-0.006137138645174991,-0.008623008695953397,-0.006772001309606911,-0.0036890014942474393,-0.004521657099089952,0.003946996443888525,0.0231930626873518,-0.0020178622710877816,0.010787214981233646,-0.00944055052151292,0.0007740883748331392,-0.011768662597601082,0.003091802671076258,-0.005153941922020124,0.003298053234063647,0.004083480470958939
heart_decs_history,-0.007841803729228197,-0.007841803729226033,-0.0011227812214623632,2.2468031309098972e-05,0.002807911594460006,-0.0034435430141004195,0.007255776974660082,-0.0035448777604045892,1.0,0.10701504649905991,-0.005187685480276198,0.036495956489593265,-0.0016259502875652814,-0.004490352514737333,0.005150559408824034,-0.003600078724063161,-0.0004449374502438081,-0.002735161408049255,0.007005694784845172,0.005971796596404657,-0.005934218559196988,0.008588539737498797,-0.010402215186622361,-0.11481110486752812,0.0676589666877515,-0.022005557866033157,0.04366216785893969,0.006131048223984011,-0.006347675163959715,0.007607388839133709,-0.00025227209764684346,-0.0011267647130881087,-0.002730707616753411,0.00012771606029664113,0.0038397958796209343,-0.0027685258709265023,0.0029917739465945927,0.010354540012235514,-0.012509213443078992,0.0009629459684613163,0.0025287967491214457,0.005635710272185268,-0.008445187224392399,0.004612216447538503,0.011776022405020958
other_major_decs_history,0.0036588481942825997,0.003658848194280139,-0.010547814678453267,-0.009595844115818094,0.00366069732359978,0.00933758695275601,-0.0036609090707940438,0.004385651356602286,0.10701504649905991,1.0,0.0009373942370338037,0.15732489224846308,-0.0011064767610273075,-0.003851078134900904,0.0017439197754149638,0.0005866007104368602,-0.0022680807142166433,-0.005799024156359054,-0.0009775037010012087,0.0016409829837414683,-0.003680229966089568,-0.008335966927661765,0.009977111024718889,-0.16481518236014306,0.05935808107116608,0.06519309882847443,0.031013153415590546,-0.0023783992444834138,2.7879927639807713e-06,0.005193313258734737,-0.005448069428609771,-0.0025658688678631162,-0.011998741182883872,0.006625769844853054,-0.007758926302044801,0.00790795547369541,0.003432605546698283,0.005450716201714981,-0.002635872518410941,-0.001404973025091414,0.0034304558038425197,-0.008554403849696487,-0.0016090879540853924,0.0010031035441135463,0.0035838362878478206
avg_glucose_level,-0.0011168052219765279,-0.00111680522197838,-0.00017388533421477964,0.014459034550609233,-0.005933045700624686,0.008147282133596698,0.0004815168963326442,-0.011550756545494575,-0.005187685480276198,0.0009373942370338037,1.0,-0.018889435885939117,0.006397368839107223,-0.004683595031839721,0.0006685015290817863,-0.0004984594308574989,-0.0050070953510534645,0.000417251067701195,0.001910688975961205,0.009257139830330649,-0.0035676761468785667,-0.0032549923286483906,-0.0054839273579179865,0.002946447185664366,0.0059297236554062445,-0.0024302148822198154,-0.005065581139596224,-0.010232200453325718,-0.000609250414704407,-0.0011540882810945707,0.014125541254042383,0.00953082802994495,-0.003944384912106027,-0.0002931839409444661,-0.0063961592985767,-0.006078232856096263,-0.006762049190874058,0.007217704377348436,-0.0014043754772724995,0.0028299187273676417,0.002712835487682399,0.0010397745200597245,0.006374542223904105,0.00019535723551999536,0.0012613361158859437
bmi,0.004040775693051281,0.0040407756930517565,-0.013185360491360645,-0.008420719061974766,-0.0021956467013441255,0.0006300383980399361,-0.005585180431604069,-0.014744426089209128,0.036495956489593265,0.15732489224846308,-0.018889435885939117,1.0,0.0034571922024434674,-0.007549678508862365,0.01785336514712918,-0.002962704282960584,-0.007965881278526085,0.007800125655977253,-0.014818218847038265,-0.009728225011010467,-0.009663821460362805,0.0036090779984494985,0.005347925651255022,-0.33215462294769404,0.1020841714846487,0.10819636412056441,0.0839245871079159,0.0021128170843811075,-0.001248413272827724,0.004435188723837969,0.00938017578596821,0.0022426135285386548,-0.006280325519991912,-0.0030724933777518584,-0.0022442175572892522,0.00015937572680804174,0.009531075326973164,-0.007281338783169539,-0.007624438615846165,-0.010470636162185399,0.016690530022560233,0.001129401282597127,-0.005006445829568312,0.003359003007790853,0.005710225954726433
Year_last_admitted,-0.0007141810978460842,-0.000714181097847755,0.0025032955416127564,-0.005993361077350301,-0.06249105617139181,-0.007965890559902095,0.005087665345245413,-0.008053334375342796,-0.0016259502875652814,-0.0011064767610273075,0.006397368839107223,0.0034571922024434674,1.0,-0.6212871316355338,0.28857833934567767,0.0033238785908444824,-0.6090106142175625,-0.005038611510011021,0.001690241795483672,0.005855961602112901,-0.0016316679457342629,0.003214901840258294,0.0041950875095926555,0.005341292736420268,0.005963942940074066,0.00594551927985693,-0.0017378566071255654,-0.004520492479852609,0.0027326073187848026,-0.003977137592553505,0.0029319954221066085,-0.0015870309414667482,0.0014338757334599337,-0.0018247953486676288,-0.0013382626566421929,-0.004905449797559134,-0.004401556125559857,-0.005632278474858508,0.009803852615410691,0.00733236594323229,0.001518885690926532,-0.036459873554739064,0.006143427544983796,0.0005100234536142441,0.008187622641196358
weight,0.00012304434516256522,0.00012304434516334262,-0.006284709780090785,-0.14249163826579528,0.07393774400005584,0.012097550009820554,-0.0057684022379490465,0.0016755338174461573,-0.004490352514737333,-0.003851078134900904,-0.004683595031839721,-0.007549678508862365,-0.6212871316355338,1.0,-0.3706703191169883,-0.007377331838414957,0.9703568646595799,-0.0002267867483548343,0.008332861008246093,0.002044058297611987,0.010406559723945503,-0.004578123200435424,-0.011823634594114708,0.002668163897252794,-0.003114890800785941,-0.004427580800762308,-0.0021320381384043823,-0.001471125907587778,-0.005398954932552569,0.007076195889195736,0.005190392277486898,-0.0037954187857251274,0.0004436359960539454,-0.0021284034665876544,-0.003538692782169262,-0.003628372262885092,0.00815166685171688,0.008538616509528788,-0.00883386426519537,-0.004471554068022181,-0.0015147963104720297,0.06720067846866447,-0.004370104566167643,-0.01021923199523106,-0.0030208320338731623
weight_change_in_last_one_year,0.007270821025249024,0.00727082102525062,-0.0006080884012870271,-0.012989761300167383,-0.047269843579221524,-0.01273318843940391,0.008347501435521485,-0.004234671749060308,0.005150559408824034,0.0017439197754149638,0.0006685015290817863,0.01785336514712918,0.28857833934567767,-0.3706703191169883,1.0,0.01327332070757358,-0.3427100275264341,0.003317482580933244,-0.007193057265408432,-0.005400309438402694,0.0021440356504627786,-0.007799626561037154,0.0039735517090273564,-0.010370992978163135,-0.001766696857181212,0.015409920714658944,-0.005494090647461117,-0.004564737714338753,-0.005882142459754691,0.0035114580890058355,0.01325918277190476,0.007819237154702422,-0.004783188970625623,-0.0002947234468625433,0.00017955118195926364,-0.00017900237841058733,-0.000656489144114454,-0.0012588336079492142,-0.0020012223075136786,-0.0016666964109907597,0.0026881010648925935,-0.059160281075518004,-0.0031313859089076423,-0.0028656535408142464,-0.0005958407529671371
fat_percentage,0.009605629777364861,0.009605629777367293,-0.003301520005691017,0.0021900619631386262,0.003053460163549793,-0.04345458154612048,0.04582729982786973,-0.007945981434956626,-0.003600078724063161,0.0005866007104368602,-0.0004984594308574989,-0.002962704282960584,0.0033238785908444824,-0.007377331838414957,0.01327332070757358,1.0,-0.0084862149795136,0.018422101879631187,0.18610433132914553,0.014985179124276587,-0.04362217578087088,0.15610169121826714,0.04827007093224388,0.005234185805125603,-0.016353167786114578,-0.0022341790836157963,0.002907837958369303,0.00022511991258003768,0.009864467758005455,-0.0004068067850898645,0.0007024115927201256,0.0013824622807753918,-0.002265342282424891,0.00456390415946917,0.006085535913170544,-0.0008855324511663725,-0.003655599155098955,-0.010275578208686626,0.00840946524328015,-0.009802432039602588,0.002852873772582713,0.003944474174626817,-0.01420922904574315,-0.006134301809895143,0.01091350297693829
insurance_cost,0.002584918614124526,0.0025849186141251768,0.0014041508360615738,-0.17400481885898106,0.07456081306111426,0.008890410959290402,-0.0065645116723452145,0.0051953201857363315,-0.0004449374502438081,-0.0022680807142166433,-0.0050070953510534645,-0.007965881278526085,-0.6090106142175625,0.9703568646595799,-0.3427100275264341,-0.0084862149795136,1.0,-0.00012710887781923477,0.007002537097411177,-0.0005113103160297857,0.011615102651430988,-0.004172492693731319,-0.009261467567065387,0.002149447382703041,-0.003041161455872284,-0.003587201358313545,-0.0034703572283443186,-0.00015280678432887703,-0.00798787416729079,0.006437932031454242,0.0066601122879653175,-0.005583835117802927,0.0019747998885080065,-0.0003282329960982558,-0.002675323837798634,-0.0035282703595969685,0.007724285636392444,0.0063943133467829335,-0.0063204178297440435,-0.009301208564480601,0.0006657002657852368,0.10162436618740597,-0.0044216811677276315,-0.009290993269625035,-0.0034395896458667766
Student,-0.0005661436466234753,-0.0005661436466196143,0.0015167615287305053,-0.00920255448769604,0.0020775851951484424,-0.013595388714347725,-0.04492810938787522,1.3163884141908279e-05,-0.002735161408049255,-0.005799024156359054,0.000417251067701195,0.007800125655977253,-0.005038611510011021,-0.0002267867483548343,0.003317482580933244,0.018422101879631187,-0.00012710887781923477,1.0,-0.6772232510667235,0.17451230987876643,-0.3036291726092898,-0.2988427959937416,-0.24774256584293528,-0.011866861672038568,-0.004920328539551892,0.0025091265672231244,0.004742282258306342,0.004542753692475098,0.0007752688910551344,-0.009085329509677805,0.005507767237957295,0.001829849289339414,-0.008640509654581281,0.006561316998346697,-0.008186909460036404,0.002009541330367787,0.002178075276356824,0.0010084743174677334,0.006388648470658512,-0.0036249868165756783,4.406996717632417e-05,-0.0024896280709675233,-0.025445059464738004,0.03125466920636119,-0.017730527702943033
Business,-0.0019939336201482364,-0.001993933620149362,0.00766634009405493,0.0016826670418319562,0.008690192685086385,0.0052846889951028795,-0.014211423015613164,0.0027893044793595653,0.007005694784845172,-0.0009775037010012087,0.001910688975961205,-0.014818218847038265,0.001690241795483672,0.008332861008246093,-0.007193057265408432,0.18610433132914553,0.007002537097411177,-0.6772232510667235,1.0,0.11355372460303469,0.44834428252578856,0.44127663296117553,-0.24469476552707095,0.009617186218825258,-0.0008764838225735227,0.002705144586765519,-0.008327863794586488,-0.010605867901011104,-0.0016649779293232772,0.005841632836739427,0.006162973519658393,0.002123414637788265,0.002446690013294169,-0.008655554264887866,0.010903067907046439,0.0010049141412003608,0.0035182672671570468,0.0015596882256692975,-0.003698260893382068,-0.008203221083778273,-0.0033357659363729792,0.0065937977083494175,-0.02205582214536837,-0.013899438785072127,0.0313865791760546
150 to 175,0.011626493910794929,0.011626493910792662,0.004269362199168526,0.002463260159102495,0.007004384380252576,0.022022227655633154,-0.011772188594693464,0.005604296576689233,0.005971796596404657,0.0016409829837414683,0.009257139830330649,-0.009728225011010467,0.005855961602112901,0.002044058297611987,-0.005400309438402694,0.014985179124276587,-0.0005113103160297857,0.17451230987876643,0.11355372460303469,1.0,-0.26937860553318654,-0.2651321510598802,-0.2197962282229705,0.002514476450752087,-0.0025259931247864987,0.008515581672099834,-0.004743692228894365,0.001334152060897132,-0.0025043650494632748,-0.0020910534651704176,0.0036681427646354046,-0.0014022265413385548,-0.006699881889578339,-0.005146271892719788,-0.005630635654782217,-0.00984291018146013,0.00972106772194812,0.012994572540557038,0.00539981923331893,0.001735244438716282,-0.0026438432460602944,0.007542624415854702,-0.0342254328451018,0.0252389313011036,0.005655009737873424
200 to 225,-0.006799525068875841,-0.006799525068875818,-0.001653438031372509,-0.010360449047846786,-0.005934460430056591,-0.07281701420188455,0.013045632267522993,-0.0004915838324615887,-0.005934218559196988,-0.003680229966089568,-0.0035676761468785667,-0.009663821460362805,-0.0016316679457342629,0.010406559723945503,0.0021440356504627786,-0.04362217578087088,0.011615102651430988,-0.3036291726092898,0.44834428252578856,-0.26937860553318654,1.0,-0.1323361435989138,-0.10970749908805075,0.010774930241133211,-0.0003509582947981618,-0.006713616528597308,-0.0014773936796003023,-0.011874468466452131,0.00852455498684741,0.004931048002168718,0.0014041927018381805,0.006710767737142806,0.0014408307412621891,-0.002195540050925449,-0.0016275666620698198,-0.0020938256434003444,0.007316571751956624,0.0020096365594795,-0.010930461095810218,-0.004827272368994573,-0.00301027822242321,0.0071023831000491325,0.02436027561666847,-0.007703936923808967,0.024616043958123255
175 to 200,-0.00613530136441357,-0.006135301364413915,0.005838047522953877,0.0041805720714946665,0.00620302366036364,0.019619295116606105,-0.05522713196200523,0.0021179029128876384,0.008588539737498797,-0.008335966927661765,-0.0032549923286483906,0.0036090779984494985,0.003214901840258294,-0.004578123200435424,-0.007799626561037154,0.15610169121826714,-0.004172492693731319,-0.2988427959937416,0.44127663296117553,-0.2651321510598802,-0.1323361435989138,1.0,-0.10797808223501065,-0.00858314727670042,-0.000951462811122975,0.0052270496515145065,0.00047354479846271674,-0.002284962326857142,-0.007748238656506947,0.0008107272545111496,0.01119175074093171,-0.009095623994998447,0.003697869948648033,-0.0021136206994967557,0.017332663051126657,0.002633783626986726,-0.009742227506369048,-0.009510148335536072,0.007703661467905524,-0.00513650336106904,0.005242353329793664,0.005791086825888549,-0.06327490752790181,-0.01935886813999853,0.009603350047348119
